Corner,Address,Neighborhood,Latitude,Longitude
1,Plazuela Los Leones,Providencia,-33.419869,-70.605912
2,Avenida Nueva Providencia 2200,Providencia,-33.422751,-70.609560
3,Avenida Pedro de Valdivia 101,Providencia,-33.424649,-70.611985
4,Avenida Suecia 780,Providencia,-33.427532,-70.605505
5,Avenida El Bosque 963,Providencia,-33.428427,-70.596128
6,Avenida Nueva Providencia 1398,Providencia,-33.428874,-70.618359
7,Metro Francisco Bilbao,Providencia,-33.430808,-70.586816
8,Latadia 4141,Las Condes,-33.431166,-70.578576
9,Avenida Ossa 1552,Ñuñoa,-33.439474,-70.572611
10,El Alcalde 15,Las Condes,-33.416337,-70.595227
11,Avenida Apoquindo 3898,Las Condes,-33.415298,-70.590077
12,Avenida Apoquindo 4483,Las Condes,-33.413435,-70.583082
13,Centro Comercial Apumanque,Las Condes,-33.409423,-70.567761
14,Parroquial Los Dominicos,Las Condes,-33.407847,-70.541797
15,Avenida Presidente Kennedy 5413,Las Condes,-33.402279,-70.578125
16,Avenida Cuarto Centenario 1001,Las Condes,-33.417755,-70.553620
17,Avenida Padre Hurtado Sur 875,Las Condes,-33.416215,-70.539630
18,Avenida Francisco Bilbao 8464,Las Condes,-33.429683,-70.545080
19,Avenida Larraín 5862,La Reina,-33.453282,-70.570271
20,Salvador Izquierdo 1777,La Reina,-33.438958,-70.556324
21,Plaza Pedro de Valdivia 1731,Providencia,-33.438743,-70.608079
22,Santa Isabel 400,Providencia,-33.446353,-70.626189
23,Avenida Salvador 42,Providencia,-33.433757,-70.626389
24,Avenida Ricardo Lyon 1146,Providencia,-33.430869,-70.606272
25,Avenida Suecia 181,Providencia,-33.418879,-70.609346
26,Avenida Cristóbal Colón 4431,Las Condes,-33.423352,-70.578923
27,Parque Bicentenario,Vitacura,-33.399924,-70.602398
28,Avenida Vitacura 3744,Vitacura,-33.402006,-70.594212
29,Mall Alto Las Condes,Las Condes,-33.390066,-70.547686
30,Manuel de Salas 39,Ñuñoa,-33.454969,-70.593477
